model,category,vocab_size,score
NB,Politician,0.2,0.86407767
LG,Politician,0.2,0.902912621
SVM,Politician,0.2,0.883495146
RF,Politician,0.2,0.873786408
NB,Trader,0.2,0.786407767
LG,Trader,0.2,0.883495146
SVM,Trader,0.2,0.883495146
RF,Trader,0.2,0.902912621
NB,Journalist,0.2,0.776699029
LG,Journalist,0.2,0.776699029
SVM,Journalist,0.2,0.825242718
RF,Journalist,0.2,0.854368932
NB,Politician,0.3,0.86407767
LG,Politician,0.3,0.902912621
SVM,Politician,0.3,0.883495146
RF,Politician,0.3,0.893203883
NB,Trader,0.3,0.786407767
LG,Trader,0.3,0.883495146
SVM,Trader,0.3,0.873786408
RF,Trader,0.3,0.912621359
NB,Journalist,0.3,0.766990291
LG,Journalist,0.3,0.776699029
SVM,Journalist,0.3,0.834951456
RF,Journalist,0.3,0.805825243
NB,Politician,0.2,0.912621359
LG,Politician,0.2,0.893203883
SVM,Politician,0.2,0.893203883
RF,Politician,0.2,0.873786408
NB,Trader,0.2,0.825242718
LG,Trader,0.2,0.873786408
SVM,Trader,0.2,0.883495146
RF,Trader,0.2,0.873786408
NB,Journalist,0.2,0.718446602
LG,Journalist,0.2,0.72815534
SVM,Journalist,0.2,0.757281553
RF,Journalist,0.2,0.786407767
NB,Politician,0.3,0.912621359
LG,Politician,0.3,0.893203883
SVM,Politician,0.3,0.912621359
RF,Politician,0.3,0.873786408
NB,Trader,0.3,0.834951456
LG,Trader,0.3,0.883495146
SVM,Trader,0.3,0.893203883
RF,Trader,0.3,0.86407767
NB,Journalist,0.3,0.737864078
LG,Journalist,0.3,0.708737864
SVM,Journalist,0.3,0.757281553
RF,Journalist,0.3,0.805825243
NB,Politician,0.2,0.86407767
LG,Politician,0.2,0.893203883
SVM,Politician,0.2,0.912621359
RF,Politician,0.2,0.902912621
NB,Trader,0.2,0.834951456
LG,Trader,0.2,0.912621359
SVM,Trader,0.2,0.922330097
RF,Trader,0.2,0.922330097
NB,Journalist,0.2,0.776699029
LG,Journalist,0.2,0.786407767
SVM,Journalist,0.2,0.815533981
RF,Journalist,0.2,0.834951456
NB,Politician,0.3,0.844660194
LG,Politician,0.3,0.883495146
SVM,Politician,0.3,0.922330097
RF,Politician,0.3,0.912621359
NB,Trader,0.3,0.834951456
LG,Trader,0.3,0.912621359
SVM,Trader,0.3,0.912621359
RF,Trader,0.3,0.922330097
NB,Journalist,0.3,0.796116505
LG,Journalist,0.3,0.796116505
SVM,Journalist,0.3,0.825242718
RF,Journalist,0.3,0.796116505
NB,Politician,0.2,0.873786408
LG,Politician,0.2,0.883495146
SVM,Politician,0.2,0.902912621
RF,Politician,0.2,0.844660194
NB,Trader,0.2,0.834951456
LG,Trader,0.2,0.902912621
SVM,Trader,0.2,0.922330097
RF,Trader,0.2,0.912621359
NB,Journalist,0.2,0.640776699
LG,Journalist,0.2,0.796116505
SVM,Journalist,0.2,0.815533981
RF,Journalist,0.2,0.757281553
NB,Politician,0.3,0.893203883
LG,Politician,0.3,0.883495146
SVM,Politician,0.3,0.902912621
RF,Politician,0.3,0.844660194
NB,Trader,0.3,0.825242718
LG,Trader,0.3,0.902912621
SVM,Trader,0.3,0.922330097
RF,Trader,0.3,0.922330097
NB,Journalist,0.3,0.640776699
LG,Journalist,0.3,0.796116505
SVM,Journalist,0.3,0.815533981
RF,Journalist,0.3,0.747572816
NB,Politician,0.2,0.883495146
LG,Politician,0.2,0.883495146
SVM,Politician,0.2,0.951456311
RF,Politician,0.2,0.902912621
NB,Trader,0.2,0.786407767
LG,Trader,0.2,0.902912621
SVM,Trader,0.2,0.922330097
RF,Trader,0.2,0.893203883
NB,Journalist,0.2,0.757281553
LG,Journalist,0.2,0.776699029
SVM,Journalist,0.2,0.834951456
RF,Journalist,0.2,0.776699029
NB,Politician,0.3,0.854368932
LG,Politician,0.3,0.883495146
SVM,Politician,0.3,0.951456311
RF,Politician,0.3,0.912621359
NB,Trader,0.3,0.786407767
LG,Trader,0.3,0.912621359
SVM,Trader,0.3,0.941747573
RF,Trader,0.3,0.873786408
NB,Journalist,0.3,0.766990291
LG,Journalist,0.3,0.776699029
SVM,Journalist,0.3,0.854368932
RF,Journalist,0.3,0.776699029
